,comment,like,time,title_list
131,"""This is not the LCK against the LPL, this is T1 against the LPL, and they like those odds""Finally, the cup and the throne back in the hands where it belongs. <3",18,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
132,"""The third trophy... was for myself.The fourth trophy... is for my teammates.""  The last lines by FAKER gave me  BOTH CHILLS AND TEARS. WTF ?!!!!",44,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
133,페이커가 세번째 우승은 나를 위한거였지만  네번째 우승은 팀을 위한겁니다 할 때 진짜 순간 울컥해서 눈물났다..,51,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
134,"chết tiệt, tôi đã ngăn nước mắt của mình chảy ra khi thấy điều này , faker không còn là cá nhân nữa mà là một tập thể hoàn chỉnh , T1 fighting ",26,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
135,看到 faker 說第四冠為了隊友而戰，都快哭了，這個前導片讓人很期待冠軍戰雙方可以帶來精彩的演出，T1 WBG 加油!!,10,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
136,4:53 This scene literally gave me GOOSEBUMPS LETS GO T1LETS GO FAKERLETS GO WRITE ANOTHER LEGEND,683,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
137,,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
138,"I teared up, come on T1!!",14,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
139,"When Faker laughed, I shed tears.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
140,right!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
141,It did but it went away once the 'anthem' started playing,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
142,The way Faker look at them  god pls give them strength and will ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
143,"the message showing a contrast between autumn and winter is so beautiful, it shows how much every player has changed throughout the years just like the seasons",20,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
144,"This is insane. I literally cried from the teaser When Faker turned around, and behind him were the boys. Please Please Please T1, play with no regrets today! I will cheer for you guys and pray for ZOFGK and the coaching staff to lift the Summoners Cup!",64,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
145,This LINE UP deserved a world title and they sought congratulations t1 you deserve it,0,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
146,Best trailer for an e-sport ever! It captures all the hype and emotions. Great work Riot!,12,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
147,Many tears were shed when Faker said that the fourth trophy is for his teamates  T1 FIGHTING!!,21,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
148,"Wow I'm tearing up. Can't believe that you squeezed out every single narratives possible from this matchup. I thought T1 vs JDG had the most narratives but this one is amazing. We got 3 times MSI champion and 2 World champion in Weibo. In T1, we only have Faker, the 3-times World Champion and 2-times MSI champion. This trailer even brought Innovation's glittering achievement into Gumayusi's story. And successfully put this T1 roster as the Last Dance.",455,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
149,"Wow, I did not notice that the total number of int’l titles of both teams’ players is exactly the same.",11,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
150,TOP GOAT The ShyVSLOL ㅂGOAT Faker,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
151,wait where did innovation appear,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
